Name,Time,Venue,Notes,Def/ Maybe/ If Pos,Website
Control Alt Delete,13:45-14:45,Laughing Horse @ City Cafe,,Def,http://www.edfringe.com/whats-on/comedy/control-alt-delete-the-funny-side-of-computers
Ray Guns look Real enough,18:40-19:40,assembly Goerge Square,,Def,?
Roisin Conaty,20:40-21:40,Pleasance Court Yard,,Def,http://www.edcomfest.com/roisinconatylifehunter/
Josie Long,18:00-19:00,Pleasance Court Yard,,Def,http://www.edcomfest.com/JosieLongRomanceandAdventure/
Charlie Baker,19:15-20:15,Pleasance Court Yard,,Def,http://www.edcomfest.com/CharlieBakerFreshlyBaked/
Rhod Gilbert,19:40-20:40,Venue 150@ EICC,No ticket allocation available. Tickets may be available at venue Friday/Saturday,Def,http://www.edfringe.com/whats-on/comedy/rhod-gilbert-the-man-with-the-flaming-battenberg-tattoo
Computer Programmer Extraodinaire,16:45- 17:35,Globe,Free,Def,http://www.edfringe.com/whats-on/comedy/computer-programmer-extraordinaire
The Stand Late,23:59- 02:00,The Strand Comedy Club,Fri/Sat,Pos,http://www.edfringe.com/whats-on/comedy/stand-late-show
Late Night Laughs,22:45-23:45,GildedBalloon Teviot,,Pos,http://www.edfringe.com/whats-on/comedy/late-night-laughs
BBC Comedy presents,23:00-00:30,BBC @ Potterow,Fri/Sat (but you can see Sunday),Pos,http://www.edfringe.com/whats-on/comedy/bbc-comedy-presents
The Best of IrishComedy ,18:00-19:15,Stand Comdey Club,,Pos,http://www.edfringe.com/whats-on/comedy/best-of-irish-comedy
Best of the Fest,23:59-01:15,Assembly Hall,,Pos,http://www.edfringe.com/whats-on/comedy/best-of-the-fest
The Assembly Rooms The Very Best of the Fest,23:59-01:15,Assembly Rooms,Sat,Pos,http://www.edfringe.com/whats-on/comedy/assembly-rooms-the-very-best-of-the-fest
Big Value Comedy Show-Late,21:00-22:10,Just the Tonic at The Caves,,Pos,http://www.edfringe.com/whats-on/comedy/big-value-comedy-show-late
Udderbelly Podcast 2012,13:00-14:30,"Uderbelly, Bristo Square",,Pos,http://www.edfringe.com/whats-on/comedy/e4-udderbelly-podcalf-2012
Activism is Fun,14:15-15:15,Globe,Free,Pos,http://www.edfringe.com/whats-on/comedy/activism-is-fun
Google/ Comples,22:15-23:15,Laughing Horse@ The Free Sisters,Free,Pos,http://www.edfringe.com/whats-on/comedy/google-complex
101 Comedy Cub - Free,19:00-20:00,Laughing Horse@ Meadow Bar,Free,Pos,http://www.edfringe.com/whats-on/comedy/101-comedy-club-free
